task,step,rho_S5_fisher_val,rho_S4_fisher_tr,rho_S3_fo_val,rho_S2_fo_tr,abs_rho_S5_fisher_val,abs_rho_S4_fisher_tr,abs_rho_S3_fo_val,abs_rho_S2_fo_tr,delta_rho_fisher,delta_rho_fo,auc_s3_signed_sym,auc_s3_signed_pos,auc_s3_unsigned,auc_s5_unsigned,auc_s4_unsigned,harmful_rate
sst2,1000,0.300761,0.384874,0.347444,0.284101,0.300761,0.384874,0.347444,0.284101,-0.084114,0.063343,0.749747,0.749747,0.360354,0.444066,0.404924,0.312500
sst2,2000,-0.401554,-0.455608,-0.212054,-0.288679,0.401554,0.455608,0.212054,0.288679,-0.054053,-0.076625,0.771463,0.228537,0.603821,0.613373,0.633791,0.651042
sst2,3000,-0.482410,-0.462022,-0.245968,-0.266198,0.482410,0.462022,0.245968,0.266198,0.020388,-0.020230,0.590043,0.409957,0.570585,0.635400,0.607220,0.718750
sst2,4000,-0.263386,-0.305298,-0.117050,-0.168202,0.263386,0.305298,0.117050,0.168202,-0.041912,-0.051152,0.668643,0.331357,0.446632,0.502728,0.534037,0.645833
sst2,5000,-0.486433,-0.467532,-0.284299,-0.387709,0.486433,0.467532,0.284299,0.387709,0.018901,-0.103410,0.586593,0.413407,0.582862,0.652084,0.644622,0.697917
mrpc,400,-0.248586,-0.273557,-0.465897,-0.360099,0.248586,0.273557,0.465897,0.360099,-0.024971,0.105799,0.799052,0.799052,0.686839,0.581019,0.595128,0.562500
mrpc,800,-0.150330,-0.155418,-0.409281,0.068080,0.150330,0.155418,0.409281,0.068080,-0.005088,0.341201,0.872879,0.872879,0.684040,0.530357,0.526786,0.583333
mrpc,1200,-0.373430,-0.212691,-0.616816,-0.034435,0.373430,0.212691,0.616816,0.034435,0.160739,0.582381,0.844407,0.844407,0.747768,0.608062,0.527836,0.708333
mrpc,1600,-0.477754,-0.341589,-0.783079,-0.217113,0.477754,0.341589,0.783079,0.217113,0.136165,0.565966,0.832282,0.832282,0.815847,0.628320,0.562729,0.755208
mrpc,2000,-0.267158,-0.222420,-0.559591,0.084634,0.267158,0.222420,0.559591,0.084634,0.044738,0.474956,0.775621,0.775621,0.702457,0.552599,0.519750,0.723958
rte,400,-0.622328,-0.536074,-0.781217,-0.656220,0.622328,0.536074,0.781217,0.656220,0.086253,0.124997,0.843808,0.843808,0.759175,0.671024,0.617898,0.796875
rte,800,-0.557280,-0.496885,-0.670152,-0.422137,0.557280,0.496885,0.670152,0.422137,0.060394,0.248015,0.839666,0.839666,0.689527,0.572057,0.566960,0.864583
rte,1200,-0.339310,-0.263516,-0.559952,0.000480,0.339310,0.263516,0.559952,0.000480,0.075794,0.559472,0.787957,0.787957,0.723752,0.588780,0.543361,0.697917
rte,1600,-0.425871,-0.261533,-0.687615,-0.233566,0.425871,0.261533,0.687615,0.233566,0.164338,0.454049,0.791429,0.791429,0.747460,0.592222,0.556349,0.781250
rte,2000,-0.369276,-0.239898,-0.593486,-0.164915,0.369276,0.239898,0.593486,0.164915,0.129378,0.428572,0.758914,0.758914,0.693177,0.587968,0.580191,0.755208
